0167-Star Probe.webp	Boris Vallejo	Star Probe. 1978	Cover art for the book Star Probe by Joseph Green, published by Ace Books/Science Fiction 1978	Oils on Artist's Board
0268-The Ring of Ikribu.webp	Boris Vallejo	Ring of Ikribu (The). 1980	Cover art for the book The Ring Of Ikribu book one in the Red Sonja series by David C Smith & Richard L Tierney, published by Ace Books/Fantasy 	Oils on Artist's Board
15586.jpg	Билибин Иван Яковлевич	Град Китеж: иллюстрация к былине		Бумага, акварель, тушь. 46 x 37 см	Частное собрание
2443.jpg	Верещагин Василий Васильевич	Афганец. 1867-1868		Холст, масло. 41 x 26 см	Государственная Третьяковская галерея, Москва
2494.jpg	Верещагин Василий Васильевич	Японка. 1903		Холст, масло. 76 x 41 см	Севастопольский художественный музей им. М.П. Крошицкого
373715.webp	Зинаида Евгеньевна Серебрякова	Автопортрет в шарфе 1911	Блистательно и красиво написала художница собственный автопортрет! С портрета на нас смотрит удивительная и талантливая женщина. Её красота необыкновенна, и вместе с тем проста. Её взгляд очаровательный и игривый. Большие, лучистые глаза Зинаиды Серебряковой сияют весело и лукаво. Улыбка озаряет её лицо.	Бумага, акварель, темпера, 36 × 26 см	Государственный музей изобразительных искусств имени А. С. Пушкина (Музей личных коллекций), Москва
3745.jpg	Брюллов Карл Павлович	Портрет вел. кн. Елены Павловны с дочерью Марией. 1830		Холст, масло. 265 x 185 см	Государственный Русский музей, С.-Петербург
7223.jpg	Репин Илья Ефимович	Портрет М.И.Драгомирова. 1889		Холст, масло. 60 x 51 см	Государственный Исторический музей, Москва
tumblr_070f815acb5900736045e290d21df3fc_605c8e9d_1280.jpg	Doug Chaffee	Executioner (Gladiator)	Invading Clans’ cover artwork published in 1994		Battletech
tumblr_275b1bf4f565a6d4d186b180c9df0f33_cb5cf529_1280.jpg	Steve Venters	Archer and Rifleman	Ral Partha box art from 1988		Battletech
tumblr_81b9af1dfe93a1f1d8f5bdce7892330a_de6d6fe1_1280.jpg	Steve Venters	Unseens	BattleTech Reinforcements cover published 1987		Battletech
tumblr_aa585c99ff29b142aee7e7e152cf0d07_e9bd4787_1280.jpg	Doug Chaffee	Bushwacker	cover artwork of Tech Readout 3058 1995		Battletech
